12,3,1,0,1,0,1,0
"",,,,,,,
0,1,0,0,0,0,0,0
1,1,0,3,3,0,0,0
7,2,0,0,0,0,0,0
6,1,0,0,0,0,0,0
1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
"",,,,,,,
1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,0,0,1,1,0,0,0
2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
"",,,,,,,
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0
4,1,1,1,2,0,0,0
5,3,0,0,0,0,0,0
5,1,0,0,0,0,0,0
1,1,1,0,1,0,0,0
1,0,0,0,0,0,0,0
"",,,,,,,
